district,division,climate_zone,year,month,rainfall_mm,river_level_m,soil_saturation_percent,drainage_quality,district_flood_prone,flood_occurred
Colombo,Colombo-DS3,Wet,2008,12,361.9,3.51,58.7,Moderate,1,0
Matara,Matara-DS5,Wet,2014,7,336.8,3.31,62.0,Poor,1,1
Kandy,Kandy-DS4,Wet,2022,12,269.7,3.01,50.9,Good,1,0
Jaffna,Jaffna-DS1,Dry,2009,12,206.4,2.14,35.9,Good,0,0
Nuwara Eliya,Nuwara Eliya-DS5,Wet,2009,7,334.1,2.86,69.0,Moderate,0,0
Kurunegala,Kurunegala-DS4,Intermediate,2011,8,157.2,2.92,45.5,Moderate,1,0
Matara,Matara-DS6,Wet,2015,6,184.5,2.9,46.0,Moderate,1,0
Kandy,Kandy-DS1,Wet,2010,9,178.4,2.88,53.4,Poor,1,1
Ampara,Ampara-DS3,Dry,2019,1,148.9,2.02,32.4,Good,0,0
Kalutara,Kalutara-DS1,Wet,2015,10,225.9,3.25,54.6,Moderate,1,0
Kilinochchi,Kilinochchi-DS3,Dry,2010,4,81.7,1.7,40.6,Poor,0,0
Batticaloa,Batticaloa-DS2,Dry,2019,10,253.0,2.74,51.6,Good,1,1
Nuwara Eliya,Nuwara Eliya-DS1,Wet,2015,5,348.2,3.13,53.6,Poor,0,0
Kalutara,Kalutara-DS2,Wet,2022,6,260.8,3.08,58.2,Moderate,1,0
Ampara,Ampara-DS5,Dry,2020,8,82.0,2.14,38.7,Moderate,0,0
Kegalle,Kegalle-DS2,Wet,2013,7,179.0,2.88,47.0,Moderate,1,0
Hambantota,Hambantota-DS5,Dry,2010,12,187.4,2.32,48.4,Good,0,0
Ratnapura,Ratnapura-DS3,Wet,2020,7,375.0,3.72,67.3,Good,1,1
Kalutara,Kalutara-DS3,Wet,2019,1,220.9,3.04,42.5,Poor,1,0
Puttalam,Puttalam-DS5,Dry,2024,5,132.6,2.11,28.2,Moderate,0,1
Trincomalee,Trincomalee-DS5,Dry,2015,5,102.4,2.88,38.3,Moderate,1,1
Nuwara Eliya,Nuwara Eliya-DS4,Wet,2017,10,391.2,3.17,49.0,Good,0,1
Anuradhapura,Anuradhapura-DS2,Dry,2023,3,47.9,1.85,28.3,Poor,0,0
Kegalle,Kegalle-DS1,Wet,2019,5,445.9,3.52,75.0,Moderate,1,1
Badulla,Badulla-DS5,Intermediate,2012,2,108.3,2.08,37.7,Good,0,0
Batticaloa,Batticaloa-DS4,Dry,2009,4,71.0,2.15,34.2,Poor,1,0
Puttalam,Puttalam-DS5,Dry,2020,6,107.8,2.08,43.3,Good,0,0
Matara,Matara-DS5,Wet,2012,1,328.3,3.56,55.5,Poor,1,0
Matara,Matara-DS1,Wet,2011,10,243.6,2.93,67.4,Moderate,1,1
Galle,Galle-DS1,Wet,2009,2,300.0,3.2,70.4,Moderate,1,1
Matara,Matara-DS5,Wet,2016,8,462.8,3.86,65.2,Moderate,1,1
Mullaitivu,Mullaitivu-DS1,Dry,2013,5,70.8,1.62,32.6,Good,0,0
Galle,Galle-DS3,Wet,2014,4,202.4,3.05,52.3,Good,1,1
Matale,Matale-DS3,Intermediate,2012,12,123.4,1.87,40.1,Moderate,0,1
Gampaha,Gampaha-DS3,Wet,2009,11,234.4,2.95,56.1,Good,1,0
Kurunegala,Kurunegala-DS3,Intermediate,2008,9,102.4,2.35,41.9,Moderate,1,0
Matale,Matale-DS5,Intermediate,2020,9,202.9,2.31,45.7,Poor,0,1
Anuradhapura,Anuradhapura-DS6,Dry,2016,7,58.0,1.86,36.7,Moderate,0,0
Anuradhapura,Anuradhapura-DS5,Dry,2015,6,117.6,2.09,47.4,Moderate,0,0
Matara,Matara-DS6,Wet,2012,1,245.5,3.13,61.2,Good,1,0
Hambantota,Hambantota-DS4,Dry,2017,4,84.1,2.14,34.3,Moderate,0,0
Ampara,Ampara-DS5,Dry,2009,7,125.1,2.0,27.0,Poor,0,0
Anuradhapura,Anuradhapura-DS6,Dry,2018,12,61.0,1.65,26.4,Poor,0,0
Colombo,Colombo-DS6,Wet,2009,4,428.5,3.86,63.7,Moderate,1,0
Batticaloa,Batticaloa-DS6,Dry,2018,11,248.4,2.82,38.2,Poor,1,1
Nuwara Eliya,Nuwara Eliya-DS1,Wet,2011,4,165.6,2.09,42.0,Moderate,0,0
Badulla,Badulla-DS2,Intermediate,2009,2,220.2,2.53,49.1,Poor,0,0
Gampaha,Gampaha-DS2,Wet,2020,12,447.4,3.69,65.8,Poor,1,1
Vavuniya,Vavuniya-DS6,Dry,2023,11,231.3,2.43,42.0,Poor,0,0
Kilinochchi,Kilinochchi-DS4,Dry,2010,4,116.2,2.04,22.3,Poor,0,0
Ratnapura,Ratnapura-DS4,Wet,2013,11,224.6,3.43,51.0,Good,1,0
Ratnapura,Ratnapura-DS5,Wet,2018,11,394.1,3.71,62.4,Poor,1,1
Trincomalee,Trincomalee-DS1,Dry,2022,1,92.1,2.71,38.4,Poor,1,0
Colombo,Colombo-DS5,Wet,2015,3,191.8,2.8,44.6,Poor,1,1
Badulla,Badulla-DS3,Intermediate,2011,6,204.9,2.17,39.5,Moderate,0,0
Batticaloa,Batticaloa-DS6,Dry,2024,3,73.5,1.74,41.2,Poor,1,1
Jaffna,Jaffna-DS6,Dry,2017,10,162.6,2.07,33.0,Moderate,0,0
Galle,Galle-DS4,Wet,2016,1,488.0,4.28,76.3,Moderate,1,1
Kegalle,Kegalle-DS4,Wet,2016,3,157.2,2.79,55.0,Poor,1,1
Ratnapura,Ratnapura-DS4,Wet,2014,3,220.2,3.29,53.1,Poor,1,1
Ratnapura,Ratnapura-DS4,Wet,2015,8,381.5,3.72,55.9,Moderate,1,0
Mullaitivu,Mullaitivu-DS6,Dry,2016,5,97.7,1.58,33.2,Moderate,0,0
Kandy,Kandy-DS3,Wet,2016,12,405.8,3.51,61.8,Moderate,1,1
Badulla,Badulla-DS4,Intermediate,2020,3,130.9,1.94,29.5,Poor,0,0
Colombo,Colombo-DS6,Wet,2021,6,503.4,4.13,79.9,Good,1,1
Kilinochchi,Kilinochchi-DS6,Dry,2008,6,40.6,1.93,29.4,Moderate,0,0
Mannar,Mannar-DS4,Dry,2021,10,125.7,2.18,46.3,Good,0,0
Matale,Matale-DS4,Intermediate,2024,7,116.2,1.51,30.4,Poor,0,0
Colombo,Colombo-DS5,Wet,2020,1,233.2,2.91,58.9,Moderate,1,1
Ratnapura,Ratnapura-DS4,Wet,2022,5,195.2,3.04,46.3,Poor,1,0
Ratnapura,Ratnapura-DS5,Wet,2025,4,169.2,2.86,44.8,Good,1,0
Matale,Matale-DS1,Intermediate,2022,10,289.8,2.66,42.6,Poor,0,1
Moneragala,Moneragala-DS2,Dry,2019,10,86.3,1.77,32.2,Good,0,0
Mannar,Mannar-DS6,Dry,2021,7,66.0,1.67,24.0,Good,0,0
Anuradhapura,Anuradhapura-DS6,Dry,2018,5,69.5,1.66,41.6,Good,0,0
Gampaha,Gampaha-DS6,Wet,2014,1,218.3,2.82,46.0,Moderate,1,0
Trincomalee,Trincomalee-DS5,Dry,2024,10,134.3,2.95,32.2,Good,1,0
Jaffna,Jaffna-DS3,Dry,2008,9,71.2,1.89,21.3,Good,0,0
Badulla,Badulla-DS1,Intermediate,2016,8,129.4,2.04,48.4,Moderate,0,0
Matara,Matara-DS6,Wet,2011,5,190.0,3.23,61.6,Moderate,1,1
Nuwara Eliya,Nuwara Eliya-DS4,Wet,2008,8,273.0,2.52,55.1,Moderate,0,0
Kegalle,Kegalle-DS5,Wet,2020,8,189.9,2.76,54.2,Poor,1,1
Gampaha,Gampaha-DS6,Wet,2011,2,167.6,2.93,53.0,Good,1,0
Ratnapura,Ratnapura-DS2,Wet,2022,10,247.0,3.56,58.1,Moderate,1,1
Jaffna,Jaffna-DS1,Dry,2015,1,85.4,1.96,45.8,Moderate,0,0
Badulla,Badulla-DS5,Intermediate,2011,7,144.9,2.02,35.1,Moderate,0,0
Nuwara Eliya,Nuwara Eliya-DS6,Wet,2017,8,358.2,3.14,57.3,Good,0,0
Gampaha,Gampaha-DS4,Wet,2008,10,234.4,3.18,47.2,Good,1,1
Matale,Matale-DS2,Intermediate,2016,10,274.8,2.25,58.7,Poor,0,0
Kegalle,Kegalle-DS2,Wet,2021,5,258.5,3.11,54.9,Poor,1,0
Ratnapura,Ratnapura-DS1,Wet,2010,8,234.8,3.46,53.6,Moderate,1,1
Puttalam,Puttalam-DS1,Dry,2025,11,97.5,1.92,39.4,Good,0,0
Batticaloa,Batticaloa-DS2,Dry,2009,3,64.3,1.91,42.6,Good,1,0
Jaffna,Jaffna-DS4,Dry,2014,1,187.4,2.31,41.3,Moderate,0,0
Mannar,Mannar-DS1,Dry,2011,5,88.6,1.57,30.5,Good,0,0
Kandy,Kandy-DS6,Wet,2008,7,219.4,3.0,54.0,Good,1,1
Batticaloa,Batticaloa-DS1,Dry,2012,8,71.5,2.45,34.7,Poor,1,0
Anuradhapura,Anuradhapura-DS3,Dry,2016,6,50.1,1.76,43.0,Moderate,0,0
Mullaitivu,Mullaitivu-DS6,Dry,2014,4,69.4,1.51,37.4,Moderate,0,0
Trincomalee,Trincomalee-DS2,Dry,2014,12,184.8,2.84,43.3,Moderate,1,0
Vavuniya,Vavuniya-DS3,Dry,2023,8,42.5,1.72,36.9,Good,0,0
Matale,Matale-DS6,Intermediate,2019,2,61.5,1.45,28.7,Moderate,0,0
Gampaha,Gampaha-DS3,Wet,2009,3,181.0,2.79,53.5,Poor,1,1
Vavuniya,Vavuniya-DS6,Dry,2025,9,86.2,1.57,27.4,Moderate,0,0
Galle,Galle-DS1,Wet,2022,12,304.2,3.28,60.3,Moderate,1,0
Puttalam,Puttalam-DS3,Dry,2023,4,88.3,2.26,41.8,Good,0,0
Mannar,Mannar-DS1,Dry,2009,5,113.3,2.2,42.8,Moderate,0,0
Colombo,Colombo-DS1,Wet,2017,12,182.9,3.18,37.9,Poor,1,1
Batticaloa,Batticaloa-DS3,Dry,2015,7,85.1,2.2,43.8,Moderate,1,0
Matale,Matale-DS6,Intermediate,2010,1,109.2,1.77,32.9,Good,0,0
Moneragala,Moneragala-DS5,Dry,2010,4,139.0,2.21,36.3,Moderate,0,0
Jaffna,Jaffna-DS6,Dry,2024,11,145.9,2.24,36.1,Good,0,0
Kegalle,Kegalle-DS3,Wet,2020,6,271.4,3.14,51.9,Good,1,0
Kalutara,Kalutara-DS2,Wet,2008,11,319.7,3.38,57.2,Poor,1,1
Kandy,Kandy-DS4,Wet,2008,4,200.7,2.63,55.9,Moderate,1,0
Batticaloa,Batticaloa-DS3,Dry,2019,9,82.5,1.79,28.2,Moderate,1,0
Colombo,Colombo-DS2,Wet,2025,11,305.0,3.4,61.8,Good,1,0
Moneragala,Moneragala-DS1,Dry,2017,8,101.8,2.16,27.7,Poor,0,0
Polonnaruwa,Polonnaruwa-DS2,Dry,2022,6,79.6,1.65,39.0,Good,0,0
Hambantota,Hambantota-DS6,Dry,2022,7,95.5,1.95,31.1,Poor,0,0
Kilinochchi,Kilinochchi-DS2,Dry,2013,11,103.0,1.95,38.8,Moderate,0,0
Kalutara,Kalutara-DS1,Wet,2015,3,171.4,3.06,45.3,Good,1,0
Jaffna,Jaffna-DS4,Dry,2019,9,72.6,1.71,26.1,Poor,0,0
Mullaitivu,Mullaitivu-DS5,Dry,2019,3,63.7,1.36,28.3,Poor,0,0
Moneragala,Moneragala-DS3,Dry,2021,11,226.3,2.12,36.4,Good,0,0
Kegalle,Kegalle-DS1,Wet,2008,3,258.6,3.35,57.5,Poor,1,0
Puttalam,Puttalam-DS6,Dry,2010,1,250.9,2.36,43.4,Moderate,0,0
Ampara,Ampara-DS6,Dry,2016,3,63.9,1.73,30.6,Poor,0,0
Ratnapura,Ratnapura-DS3,Wet,2025,5,218.3,3.04,62.4,Good,1,1
Badulla,Badulla-DS2,Intermediate,2012,3,209.9,2.27,48.9,Good,0,1
Kilinochchi,Kilinochchi-DS2,Dry,2016,2,44.9,1.88,33.3,Poor,0,0
Puttalam,Puttalam-DS5,Dry,2022,8,62.6,1.86,40.6,Good,0,0
Polonnaruwa,Polonnaruwa-DS6,Dry,2016,4,51.8,1.3,35.7,Moderate,0,0
Kalutara,Kalutara-DS2,Wet,2022,5,341.4,3.35,57.2,Moderate,1,1
Trincomalee,Trincomalee-DS3,Dry,2014,9,45.6,2.59,38.0,Good,1,0
Mannar,Mannar-DS3,Dry,2014,12,123.0,2.08,44.7,Good,0,0
Kegalle,Kegalle-DS5,Wet,2019,2,181.3,2.92,52.6,Poor,1,1
Mannar,Mannar-DS5,Dry,2010,12,158.4,2.02,30.3,Good,0,0
Kandy,Kandy-DS3,Wet,2008,2,186.5,3.06,60.5,Moderate,1,1
Colombo,Colombo-DS1,Wet,2025,2,142.3,2.88,43.2,Moderate,1,0
Jaffna,Jaffna-DS5,Dry,2014,5,43.4,1.67,32.8,Moderate,0,0
Mullaitivu,Mullaitivu-DS5,Dry,2017,3,225.7,2.16,34.1,Moderate,0,0
Mullaitivu,Mullaitivu-DS3,Dry,2019,1,191.0,2.38,36.0,Moderate,0,0
Galle,Galle-DS4,Wet,2010,12,147.7,2.69,56.3,Good,1,0
Mullaitivu,Mullaitivu-DS2,Dry,2008,12,169.8,1.84,54.3,Moderate,0,1
Nuwara Eliya,Nuwara Eliya-DS2,Wet,2021,2,308.4,2.64,59.8,Moderate,0,1
Polonnaruwa,Polonnaruwa-DS2,Dry,2020,11,170.6,2.22,29.5,Moderate,0,1
Vavuniya,Vavuniya-DS2,Dry,2016,7,114.6,2.22,41.9,Moderate,0,0
Polonnaruwa,Polonnaruwa-DS3,Dry,2023,9,81.8,1.85,36.9,Moderate,0,0
Kegalle,Kegalle-DS2,Wet,2009,12,194.0,2.84,48.8,Good,1,0
Matale,Matale-DS1,Intermediate,2009,8,198.7,2.03,35.8,Poor,0,0
Anuradhapura,Anuradhapura-DS2,Dry,2022,5,54.5,1.92,38.8,Moderate,0,0
Gampaha,Gampaha-DS3,Wet,2013,8,314.5,3.36,63.3,Good,1,1
Badulla,Badulla-DS3,Intermediate,2020,4,238.5,2.28,48.6,Moderate,0,0
Batticaloa,Batticaloa-DS2,Dry,2009,9,59.2,2.16,37.1,Good,1,0
Polonnaruwa,Polonnaruwa-DS1,Dry,2017,12,170.6,2.01,31.6,Moderate,0,0
Polonnaruwa,Polonnaruwa-DS1,Dry,2008,1,143.4,1.88,28.9,Moderate,0,0
Jaffna,Jaffna-DS5,Dry,2025,10,125.6,2.17,30.3,Moderate,0,0
Ratnapura,Ratnapura-DS3,Wet,2023,1,233.2,3.35,36.2,Good,1,0
Matale,Matale-DS1,Intermediate,2018,5,172.2,1.99,44.4,Moderate,0,0
Mullaitivu,Mullaitivu-DS2,Dry,2023,9,85.2,1.65,40.3,Moderate,0,0
Moneragala,Moneragala-DS3,Dry,2017,2,74.5,2.0,32.0,Good,0,0
Ratnapura,Ratnapura-DS6,Wet,2017,6,370.7,3.8,62.7,Poor,1,1
Kandy,Kandy-DS6,Wet,2019,7,219.1,2.95,55.3,Moderate,1,1
Hambantota,Hambantota-DS5,Dry,2008,6,60.8,1.67,25.9,Moderate,0,0
Ampara,Ampara-DS5,Dry,2019,4,53.9,1.51,41.0,Moderate,0,0
Galle,Galle-DS3,Wet,2015,2,141.9,3.07,49.2,Moderate,1,0
Mannar,Mannar-DS2,Dry,2023,5,208.1,1.89,37.7,Moderate,0,0
Kegalle,Kegalle-DS4,Wet,2011,9,347.7,3.52,64.8,Moderate,1,0
Ampara,Ampara-DS1,Dry,2021,9,112.0,2.05,30.2,Good,0,0
Kegalle,Kegalle-DS6,Wet,2010,2,316.3,3.37,51.6,Good,1,1
Ampara,Ampara-DS3,Dry,2016,5,177.8,2.23,51.8,Moderate,0,0
Mullaitivu,Mullaitivu-DS4,Dry,2021,2,61.9,2.0,36.3,Good,0,0
Hambantota,Hambantota-DS6,Dry,2021,2,88.3,1.57,43.3,Moderate,0,0
Mannar,Mannar-DS2,Dry,2021,10,99.8,1.82,38.0,Moderate,0,0
Ratnapura,Ratnapura-DS1,Wet,2012,10,162.9,3.16,48.6,Good,1,0
Gampaha,Gampaha-DS5,Wet,2018,4,216.0,2.75,54.3,Poor,1,1
Polonnaruwa,Polonnaruwa-DS1,Dry,2013,1,118.0,2.09,31.6,Moderate,0,0
Jaffna,Jaffna-DS6,Dry,2020,9,80.2,1.73,29.6,Poor,0,1
Jaffna,Jaffna-DS4,Dry,2010,3,93.4,1.67,40.0,Good,0,0
Kilinochchi,Kilinochchi-DS2,Dry,2022,3,88.2,1.98,40.0,Good,0,0
Kurunegala,Kurunegala-DS3,Intermediate,2017,11,60.6,2.57,39.0,Good,1,0
Gampaha,Gampaha-DS3,Wet,2024,9,383.6,3.19,51.4,Poor,1,1
Colombo,Colombo-DS5,Wet,2024,3,302.3,3.08,58.8,Poor,1,1
Mannar,Mannar-DS2,Dry,2023,3,81.5,1.99,27.1,Good,0,0
Kandy,Kandy-DS3,Wet,2015,1,275.7,3.48,49.7,Poor,1,1
Jaffna,Jaffna-DS6,Dry,2024,1,75.3,1.69,32.1,Poor,0,0
Anuradhapura,Anuradhapura-DS5,Dry,2020,4,87.9,2.18,40.7,Poor,0,0
Kilinochchi,Kilinochchi-DS4,Dry,2024,4,83.3,2.08,30.0,Good,0,0
Colombo,Colombo-DS4,Wet,2021,3,320.3,3.25,58.9,Poor,1,1
Kalutara,Kalutara-DS5,Wet,2021,6,417.7,3.81,61.8,Moderate,1,1
Mannar,Mannar-DS3,Dry,2010,2,75.2,2.01,35.9,Moderate,0,0
Gampaha,Gampaha-DS3,Wet,2013,10,240.7,2.81,43.2,Good,1,0
Moneragala,Moneragala-DS1,Dry,2020,1,126.7,2.27,32.6,Poor,0,0
Kurunegala,Kurunegala-DS4,Intermediate,2019,4,244.2,2.73,44.5,Poor,1,0
Kalutara,Kalutara-DS4,Wet,2018,3,260.4,3.04,54.9,Moderate,1,1
Kegalle,Kegalle-DS3,Wet,2010,3,203.2,2.78,39.3,Poor,1,0
Trincomalee,Trincomalee-DS2,Dry,2009,9,67.9,2.55,26.0,Poor,1,0
Kilinochchi,Kilinochchi-DS6,Dry,2012,11,261.8,2.45,43.4,Good,0,0
Kilinochchi,Kilinochchi-DS6,Dry,2016,8,58.7,1.22,29.4,Moderate,0,0
Vavuniya,Vavuniya-DS4,Dry,2012,11,167.1,1.84,49.3,Moderate,0,0
Jaffna,Jaffna-DS1,Dry,2025,5,215.4,2.51,33.6,Good,0,0
Trincomalee,Trincomalee-DS5,Dry,2025,2,34.6,2.65,29.0,Moderate,1,0
Matale,Matale-DS4,Intermediate,2019,7,164.8,1.71,38.9,Moderate,0,0
Nuwara Eliya,Nuwara Eliya-DS6,Wet,2023,6,342.6,3.01,59.8,Good,0,0
Ampara,Ampara-DS3,Dry,2015,8,67.4,1.54,31.6,Moderate,0,0
Kandy,Kandy-DS1,Wet,2024,10,230.2,2.82,44.4,Good,1,0
Puttalam,Puttalam-DS6,Dry,2020,11,113.3,1.96,35.2,Moderate,0,0
Vavuniya,Vavuniya-DS6,Dry,2019,7,86.9,1.76,31.5,Poor,0,0
Kilinochchi,Kilinochchi-DS1,Dry,2015,12,220.1,2.28,45.1,Moderate,0,0
Anuradhapura,Anuradhapura-DS6,Dry,2014,4,109.3,1.96,36.2,Good,0,0
Badulla,Badulla-DS6,Intermediate,2015,8,144.5,2.16,34.5,Poor,0,0
Polonnaruwa,Polonnaruwa-DS1,Dry,2024,2,69.7,1.71,25.1,Poor,0,0
Mannar,Mannar-DS2,Dry,2017,4,71.3,1.84,25.8,Good,0,0
Colombo,Colombo-DS1,Wet,2022,11,282.9,3.15,52.0,Moderate,1,1
Gampaha,Gampaha-DS2,Wet,2019,10,209.7,3.05,48.4,Moderate,1,1
Polonnaruwa,Polonnaruwa-DS6,Dry,2009,11,134.1,1.78,38.8,Good,0,0
Matara,Matara-DS5,Wet,2014,8,211.8,2.94,40.2,Moderate,1,0
Kandy,Kandy-DS6,Wet,2012,10,217.1,3.0,53.3,Poor,1,1
Kilinochchi,Kilinochchi-DS6,Dry,2014,4,94.7,1.88,33.5,Moderate,0,0
Polonnaruwa,Polonnaruwa-DS3,Dry,2009,2,84.8,1.82,38.8,Poor,0,0
Gampaha,Gampaha-DS3,Wet,2023,2,218.7,2.75,47.2,Moderate,1,0
Jaffna,Jaffna-DS3,Dry,2020,6,71.6,2.08,33.6,Poor,0,0
Batticaloa,Batticaloa-DS2,Dry,2024,8,51.0,2.13,32.0,Good,1,0
Kegalle,Kegalle-DS6,Wet,2017,2,107.4,2.86,46.5,Good,1,0
Mullaitivu,Mullaitivu-DS1,Dry,2020,1,102.1,1.52,38.2,Poor,0,0
Jaffna,Jaffna-DS5,Dry,2009,3,91.1,1.71,39.6,Moderate,0,0
Kilinochchi,Kilinochchi-DS1,Dry,2011,12,146.0,1.94,34.3,Moderate,0,0
Jaffna,Jaffna-DS6,Dry,2009,10,141.9,1.66,35.8,Good,0,0
Colombo,Colombo-DS1,Wet,2008,10,99.7,2.81,45.1,Moderate,1,0
Kalutara,Kalutara-DS2,Wet,2022,4,308.8,3.25,49.8,Poor,1,0
Colombo,Colombo-DS3,Wet,2009,3,184.9,2.78,46.8,Poor,1,0
Kandy,Kandy-DS3,Wet,2011,9,386.7,3.66,63.7,Poor,1,1
Puttalam,Puttalam-DS5,Dry,2023,10,92.1,1.88,31.7,Good,0,0
Kegalle,Kegalle-DS6,Wet,2017,8,123.7,2.88,39.0,Good,1,1
Nuwara Eliya,Nuwara Eliya-DS4,Wet,2021,10,290.6,2.44,56.7,Good,0,0
Puttalam,Puttalam-DS6,Dry,2013,11,198.1,2.26,40.1,Moderate,0,0
Puttalam,Puttalam-DS3,Dry,2015,2,58.9,1.89,26.8,Good,0,0
Kurunegala,Kurunegala-DS1,Intermediate,2011,11,266.2,2.85,53.4,Poor,1,0
Polonnaruwa,Polonnaruwa-DS3,Dry,2011,1,102.9,1.64,29.1,Moderate,0,0
Trincomalee,Trincomalee-DS2,Dry,2024,11,192.7,3.05,45.8,Moderate,1,0
Ampara,Ampara-DS3,Dry,2022,3,64.0,1.8,36.2,Moderate,0,0
Vavuniya,Vavuniya-DS6,Dry,2011,8,62.4,1.56,20.8,Good,0,0
Matale,Matale-DS1,Intermediate,2012,2,117.8,1.76,36.8,Moderate,0,0
Mannar,Mannar-DS5,Dry,2020,7,37.7,1.72,28.8,Moderate,0,0
Ampara,Ampara-DS6,Dry,2018,5,91.1,1.48,19.5,Moderate,0,0
Hambantota,Hambantota-DS4,Dry,2016,11,167.9,2.51,28.4,Moderate,0,0
Mullaitivu,Mullaitivu-DS2,Dry,2025,6,87.5,1.91,31.4,Good,0,0
Trincomalee,Trincomalee-DS3,Dry,2009,10,112.8,2.59,30.7,Poor,1,0
Kandy,Kandy-DS3,Wet,2009,9,315.2,2.87,63.2,Moderate,1,0
Galle,Galle-DS4,Wet,2014,7,111.4,2.71,48.9,Good,1,0
Kalutara,Kalutara-DS5,Wet,2016,4,316.9,3.58,57.9,Moderate,1,1
Kurunegala,Kurunegala-DS5,Intermediate,2009,10,239.9,2.87,44.5,Poor,1,0
Vavuniya,Vavuniya-DS4,Dry,2022,12,161.6,2.17,32.8,Poor,0,0
Kandy,Kandy-DS4,Wet,2017,9,276.8,3.39,46.7,Moderate,1,1
Kalutara,Kalutara-DS3,Wet,2016,6,344.2,3.77,68.7,Poor,1,1
Ampara,Ampara-DS1,Dry,2011,9,66.1,2.06,22.7,Poor,0,0
Galle,Galle-DS5,Wet,2008,5,635.8,4.16,80.4,Poor,1,1
Colombo,Colombo-DS2,Wet,2019,12,309.9,3.31,65.6,Poor,1,1
Mannar,Mannar-DS1,Dry,2015,2,62.2,1.75,31.7,Moderate,0,0
Kurunegala,Kurunegala-DS5,Intermediate,2012,12,181.4,2.95,47.3,Moderate,1,1
Matara,Matara-DS3,Wet,2024,11,469.2,3.94,72.2,Poor,1,1
Mannar,Mannar-DS6,Dry,2025,8,54.2,2.13,19.5,Moderate,0,0
Matale,Matale-DS4,Intermediate,2019,9,134.4,1.68,37.4,Moderate,0,0
Moneragala,Moneragala-DS4,Dry,2012,12,108.1,1.84,31.5,Poor,0,0
Gampaha,Gampaha-DS4,Wet,2011,4,124.0,2.98,41.9,Moderate,1,0
Puttalam,Puttalam-DS6,Dry,2018,7,88.8,1.76,27.7,Moderate,0,0
Ratnapura,Ratnapura-DS4,Wet,2022,3,509.9,4.08,68.7,Moderate,1,0
Batticaloa,Batticaloa-DS1,Dry,2010,3,80.4,1.97,34.1,Moderate,1,1
Moneragala,Moneragala-DS4,Dry,2012,10,122.7,2.09,32.0,Poor,0,0
Nuwara Eliya,Nuwara Eliya-DS5,Wet,2024,3,374.7,3.03,64.5,Moderate,0,1
Anuradhapura,Anuradhapura-DS3,Dry,2015,10,134.3,2.21,31.5,Moderate,0,1
Kurunegala,Kurunegala-DS5,Intermediate,2009,1,482.2,3.59,56.3,Good,1,0
Badulla,Badulla-DS2,Intermediate,2014,7,132.4,1.67,32.7,Poor,0,0
Colombo,Colombo-DS2,Wet,2015,8,199.2,3.08,43.5,Poor,1,0
Moneragala,Moneragala-DS5,Dry,2013,1,162.8,2.04,32.0,Poor,0,0
Kalutara,Kalutara-DS2,Wet,2024,2,198.6,2.85,51.9,Moderate,1,0
Badulla,Badulla-DS3,Intermediate,2021,9,262.1,2.25,50.9,Moderate,0,0
Kurunegala,Kurunegala-DS4,Intermediate,2011,11,250.5,2.96,47.3,Moderate,1,0
Ampara,Ampara-DS1,Dry,2010,1,201.9,2.21,37.2,Good,0,1
Polonnaruwa,Polonnaruwa-DS5,Dry,2018,2,61.6,1.75,31.8,Moderate,0,0
Galle,Galle-DS5,Wet,2021,2,157.9,2.86,52.0,Moderate,1,0
Galle,Galle-DS5,Wet,2024,2,176.3,3.08,50.4,Moderate,1,0
Polonnaruwa,Polonnaruwa-DS1,Dry,2012,1,153.8,1.83,36.7,Moderate,0,0
Trincomalee,Trincomalee-DS1,Dry,2023,4,61.2,2.55,34.9,Poor,1,0
Jaffna,Jaffna-DS4,Dry,2010,10,141.2,1.65,23.6,Moderate,0,0
Batticaloa,Batticaloa-DS3,Dry,2025,11,142.0,2.3,49.4,Moderate,1,0
Nuwara Eliya,Nuwara Eliya-DS5,Wet,2022,12,344.8,3.01,60.5,Good,0,0
Trincomalee,Trincomalee-DS3,Dry,2014,10,94.5,2.52,53.3,Moderate,1,0
Gampaha,Gampaha-DS6,Wet,2018,7,279.7,3.03,60.0,Good,1,0
Kegalle,Kegalle-DS5,Wet,2018,11,169.4,2.67,48.9,Moderate,1,0
Matara,Matara-DS6,Wet,2008,3,350.4,3.28,63.2,Moderate,1,0
Mannar,Mannar-DS1,Dry,2012,9,79.5,2.03,38.3,Moderate,0,1
Matara,Matara-DS1,Wet,2022,5,407.3,3.53,63.8,Good,1,1
Matale,Matale-DS1,Intermediate,2011,8,137.6,1.76,43.7,Moderate,0,0
Kalutara,Kalutara-DS5,Wet,2018,9,275.2,3.29,61.3,Poor,1,1
Hambantota,Hambantota-DS2,Dry,2013,2,63.3,1.82,41.6,Poor,0,0
Kegalle,Kegalle-DS3,Wet,2013,11,193.9,2.59,49.1,Poor,1,0
Puttalam,Puttalam-DS2,Dry,2018,6,69.2,1.71,35.7,Poor,0,0
Ampara,Ampara-DS5,Dry,2022,6,114.6,1.57,26.5,Moderate,0,0
Nuwara Eliya,Nuwara Eliya-DS4,Wet,2024,8,950.0,4.76,100.0,Moderate,0,1
Mannar,Mannar-DS6,Dry,2012,7,38.5,1.51,37.3,Moderate,0,0
Puttalam,Puttalam-DS1,Dry,2024,11,157.5,2.16,35.6,Poor,0,0
